2025-02-17 11:57:27,919 - ERROR - this is error
2025-02-17 11:58:47,969 - INFO - this is kaustubh
2025-02-17 13:11:34,691 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,695 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,703 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,706 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,710 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,715 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,719 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,722 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,726 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,731 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,734 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,739 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,743 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,770 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,774 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,779 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,783 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,787 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,791 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,796 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,802 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,808 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,813 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,818 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,822 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,837 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,840 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,848 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,852 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,855 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,861 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,870 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,874 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,879 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,884 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,888 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,891 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,903 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,907 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,912 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,916 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,923 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,930 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,936 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,940 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,944 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,949 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,952 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,957 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,963 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,967 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,970 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,973 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,980 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,983 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,987 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,990 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,998 - ERROR - code=2: cannot remove file 'C:\Users\Kaustubh.keny\OneDrive - Cogencis Information Services Ltd\Documents\mywork-repo\data\output\DryRun.pdf': Permission denied
2025-02-17 13:11:35,005 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:35,010 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:35,025 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:35,029 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:35,032 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:35,035 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:35,038 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:35,041 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:35,045 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:35,049 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:35,052 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:35,056 - ERROR - need 1, 3 or 4 color components in range 0 to 1
