page,table,mutual_fund_name,main_scheme_name,portfolio_data_0,portfolio_data_1,monthly_aaum_value,empty_col
11,tbl_0,Generali Central Life Insurance Fund,FUTURE MAXIMISE FUND,9.00% Shriram Transport Finance Company Ltd 28/03/2028,,"8,422.91",
11,tbl_0,Generali Central Life Insurance Fund,FUTURE MAXIMISE FUND,8.85% Sammaan Capital Ltd 26/09/2026,,"8,422.91",
11,tbl_0,Generali Central Life Insurance Fund,FUTURE MAXIMISE FUND,10.63% IOT Utkal Energy Services Ltd 2028 20/07/2028,,"8,422.91",
11,tbl_0,Generali Central Life Insurance Fund,FUTURE MAXIMISE FUND,SECURITIES,HOLDINGS,"8,422.91",
11,tbl_0,Generali Central Life Insurance Fund,FUTURE MAXIMISE FUND,EQUITY,,"8,422.91",
11,tbl_0,Generali Central Life Insurance Fund,FUTURE MAXIMISE FUND,HDFC Bank Ltd,,"8,422.91",
11,tbl_0,Generali Central Life Insurance Fund,FUTURE MAXIMISE FUND,Reliance Industries Ltd,,"8,422.91",
11,tbl_0,Generali Central Life Insurance Fund,FUTURE MAXIMISE FUND,UTI Nifty Bank ETF,,"8,422.91",
11,tbl_0,Generali Central Life Insurance Fund,FUTURE MAXIMISE FUND,ICICI Bank Ltd,,"8,422.91",
11,tbl_0,Generali Central Life Insurance Fund,FUTURE MAXIMISE FUND,Tata Consultancy Services Ltd,,"8,422.91",
11,tbl_0,Generali Central Life Insurance Fund,FUTURE MAXIMISE FUND,State Bank of India,,"8,422.91",
11,tbl_0,Generali Central Life Insurance Fund,FUTURE MAXIMISE FUND,Infosys Technologies Ltd.,,"8,422.91",
11,tbl_0,Generali Central Life Insurance Fund,FUTURE MAXIMISE FUND,SBI-ETF Nifty Bank,,"8,422.91",
