Sector,Que. No.,Question,Helpful Key Point,Type
Environment,Q169,Is the company fulfilling International Maritime Organization (IMO) - MARPOL Air Pollution prevention guidelines?,MARPOL,Boolean
Social,Q505,Whether an occupational health and safety management system is implemented by the entity?,occupational health and safety management system ,Boolean
Social,Q573,What are the processes used to identify work-related hazards and assess risks on a routine and non-routine basis by the entity?,routine and non-routine ,Boolean
Social,Q574,Does the company have processes for workers to report the work-relatedx` hazards and to remove themselves from such risks. (Y/N),work-related hazards,Boolean
Social,Q541,Was there training given to Workers on Health and Safety measures in Current Year,"Health and safety, training given ",Boolean
Social,Q626,Does the company mention that they have a Safety Committee / Policy in place with respect to accidents or misfortune events?,"Safety committee, safety policy ",Boolean
Social,Q542,Does the entity have ISO 45001:2018 Certification (Occupational Health & Safety)?,"ISO 45001:2018 Certification, Occupational Health & safety ",Boolean
Social,Q672,Are the entity's manufacturing facilities WRAP Certified?,"ISO 13485, Quality management systems ",Boolean
Social,Q512,Does the company have a target to achieve gender diversity (Women percentage) in the workforce?,Gender diversity ,Boolean
Social,Q507,Does the company have a diversity equality and inclusion (DEI) policy?,diversity equality and inclusion (DEI),Boolean
Social,Q516,Does the company have policy for prevention to prevent sexual harassment at workplace (POSH policy)?,"POSH policy, POSH, Prevention of Sexual Harassment ",Boolean
Social,Q725,Are all the complaints filed by the employees during current fiscal year closed?,"Complaints, Complaint/grievances on ",Boolean
Social,Q509,Does the company have a human rights policy established? ,"Human rights policy, Human rights ",Boolean
Social,Q506,"Does the company provide medical assistance (Ambulance service, Fixed medical checkups ) to the employees ?",non-occupational medical,Boolean
Social,Q511,"Does the company take measures for the well-being of individuals other than permanent employees (which may include interns, contracts etc.)?","Health insurance, Accident insurance, Well-being ",Boolean
Social,Q731,Does the organisation have opportunities for Paternal Leaves,"Paternity Benefits, Well-being ",Boolean
Social,Q715,What all initiatives does the organization undertake for increase in the retention rate of employees?,Retention ,Boolean
Social,Q733,Does the company have employee development programs that have been developed to upgrade and improve employee skills? ,"Skill upgradation, Skills upgradation ",Boolean
Social,Q713,Did the company face any strike in the current year?,-,Boolean
Social,Q736,Does the company conduct an employee satisfaction survey?,-,Boolean
Social,Q518,Does the company have policy on offering employee stock option?,-,Boolean
Social,Q527,Does the company have mechanisms to receive and respond to consumer complaints and feedback?,-,Boolean
Social,Q657,"Did your entity carry out any survey with regard to consumer satisfaction relating to the major products / services of the entity, significant locations of operation of the entity or the entity as a whole?",-,Boolean
Social,Q640,Steps taken to inform and educate consumers about safe and responsible usage of products and/or service,-,Boolean
Social,Q551,ISO 9001:2015 Certification (Quality Management System),-,Boolean
Social,Q624,Does the entity display product information on the product over and above what is mandated as per local laws?,-,Boolean
Social,Q535,"When the onboarding of new vendors takes place, does the company have their Supplier code of conduct designed?",-,Boolean
Social,Q805,Disclose any significant adverse impact on the environment arising from the value chain of the entity. Are there any mitigation or adaptation measures taken by the entity in this context?,-,Boolean
Social,Q628,Provide details of any corrective actions taken or underway to address significant risks / concerns arising from assessments of health and safety practices and working conditions of value chain partners,-,Boolean
Social,Q645,Does the entity have procedures in place for sustainable sourcing/strategy around sustainable / efficient / responsible supply chain?,-,Boolean
Social,Q649,Is there a robust supplier assessment done by the company to avoid any conflicts with ESG requirements/ Sustainability / ESG Assessment for Suppliers?,-,Boolean
Social,Q521,Does the company have a  documentated CSR policy in place?,-,Boolean
Social,Q517,Whether there are mechanisms to receive and redress grievances of the community,-,Boolean
Social,Q558,Does the entity disclose the details of beneficiaries of CSR Projects?,-,Boolean
Social,Q711,Does the company conduct impact assessments for CSR projects? If yes provide details.,-,Boolean
Social,Q613,Does the company conduct assessment of negative impacts of its operation on the communities,-,Boolean
Social,Q612,Provide details of actions taken to mitigate any negative social impacts identified in the Social Impact Assessments,-,Boolean
Social,Q523,Does the entity have a framework/ policy on cyber security and risks related to data privacy?,-,Boolean
Social,Q724,Does the company's policy on cybersecurity and risks related to data privacy extend to its value chain partners?,-,Boolean
Social,Q525,Provide number of instances of data breaches along-with their impact on the company,-,Number
Social,Q718,Does the company conduct Cybersecurity assessment by a third party?,-,Boolean
Social,Q524,"Does the entity comply with ISO 27001:2013, ISO 22301:2019 OR PCI DSS standards to safeguard the customer data?",-,Boolean
Social,Q730,Does the organisation conduct training on data privacy and awareness programs for information security to its customers/ employees?,-,Boolean
Social,Q709,Does the company have a communication plan for engaging with the communities affected with aircraft noise?,-,Boolean
Social,Q708,Does the company comply with Maritime Labour Convention adopted by the International Labour Organization (ILO) in 2006?,-,Boolean
Social,Q710,Is the company's training centre for its seafarers certified or has got validated by any institution?,-, 
Social,Q642,Does the company have agreements which safegaurd their wellbeing of farm workers through the  Agricultural Labour Practices (ALP) Code?,-,Boolean
Social,Q689,Does the company ensure its jewellery meets BIS hallmark standards for quality assurance?,-,Boolean
Social,Q690,Is the education institute providing placement assistance to its students?,-,Number
Social,Q758,Does the company have a Editorial Policy? ,-,Number
Social,Q759,Does the company implement strategies to control and reduce the amount of construction and demolition waste from buildings that are constructed or are part of portfolio?,-,Boolean
Social,Q777,Does the company have programs established to measure food loss and waste,-,Boolean
Social,Q779,Does the company have any targets to reduce food waste,-,Boolean
Social,Q769,What initiatives are undertaken to mitigate the health risks of smoking and tobacco use?,-,Boolean
Social,Q596,Are any of its hospitals accredited with NABH or JIC? How many of the total hospitals are accredited with NABH or JIC?,-,Boolean
Social,Q605,Does the company have a program or is taking efforts to increase the availability and affordability of the medicines in low income/developing markets?,-,Boolean
Social,Q751,Does the company have publicly available programs to improve the accessibility to healthcare?,-,Boolean
Social,Q659,Are the production units and R&D centers certified to International Aerospace Standard AS9100D and other required aviation standards?,"AS9100D, Quality Management System ",Boolean
Social,Q706,"Has the company identified risk and threats it faces in ensuring the safety and security of its passengers, staff, and assets?",-,Boolean
Social,Q767,Does the company collaborate with external agencies to reduce the amount of food loss and waste?,-,Boolean
Social,Q697,Is the company promoting local tourism?,-,Boolean
Social,Q606,"Does the company actively engage in the research collaborations with the universities, research institutions and other companies?",-,Boolean
Social,Q607,"Provide details on development of Clinical Technology, Clinical Capabilities & Programmes",-,Boolean
Social,Q703,"Does the entity have system/mechanism in place  to address issues (congestion, indoor coverage, call drops, modernisation and upgrade of data speeds, among others)",-,Boolean
Social,Q615,"Does company have digital/smart substations or plans to have it in future? (If yes, provide the number of substation)",-, 
Social,Q747,Does the company use smart meters in its distribution grid?,-,Boolean
Social,Q664,Does the company have inhouse research & development facilities/centres and team?,-,Boolean
Social,Q691,Is the company offering e-learning courses/certification to its students?,"E-Learning, Online courses ",Boolean
Social,Q588,ISO 22000 (Food Safety Management System) FSSC,-,Boolean
Social,Q634,Does the company confirm on its commitments to follow guidelines provided by Food Safety and Standards Authority of India (FSSAI) and National Institute of Nutrition (NIN)?,-,Boolean
Social,Q675,Does the company conduct food safety audits?,-,Boolean
Social,Q646,Does the company mention use of Natural ingredients in their products and are they approved by Government Norms?,-,Boolean
Social,Q647,Does the company have a policy on Ingredient safety? Is there any mention of  no use of paraben in their products?,-,Boolean
Social,Q587,ISO 13485 (Quality Management System for Medical Device Manufacturing),"ISO 13485, Quality management systems ",Number
Social,Q598,Does the company have a policy for ensuring  quality and patient safety during clinical trials,-,Boolean
Social,Q603,Does the entity displays relevant information on the product labels as per the requirements of national and international drug regulatory bodies,-,Boolean
Social,Q609,How many labs are NABL accredited?,-,Boolean
Social,Q610,How did the entity handles aliquots and provide details on reducing aliquots?,-,Boolean
Social,Q600,Does the company have a dedicated ethics committee to oversee all the clinical trails?,-,Boolean
Social,Q635,Does the company have a public policy committing it and/or its suppliers to animal welfare principles? ,-,Boolean
Social,Q528,Does the company meet priority sector lending requirements as per RBI?,-,Boolean
Social,Q584,Does the entity have a plan to lend to MSME? If yes provide details. ,-,Boolean
Social,Q529,Does the company have a policy or commitment on financial inclusion?,-,Boolean
Social,Q533,Does the company have programmes for listing designed to promote small businesses (MSME) and community development?,-,Boolean
Social,Q534,Does the company have index for social enterprises that target underserved or less privileged population segments?,"Social Stock Exchange, Social Index ",Number
Social,Q665,Does the company have its products in compliance with BIS standards?,-,Boolean
Social,Q676,Is the company adhering to Food Safety Standards & Processes?,-,Boolean
Social,Q604,Description of actions and initiatives to promote access to health care products for priority diseases ?,-,Boolean
Social,Q752,Does the company focus on providing healthcare facilities to vulnerable portions of the population,-,Boolean
Social,Q699,N-CAP Rating of 4 star or 5 star?,-,Boolean
Social,Q677,"Is the company sourcing raw materials from the certified sustainable sources (such as Global GAP, RSPO, Rainforest, FSC)?",-,Boolean
Social,Q641,Do the farmers have access to PPE kits to prevent themselves from exposure to pesticides while handling wet green tobacco leaves which could lead to Green Tobacco Sickness (GTS)?,-,Boolean
Social,Q643,Does the company have any standards or programme related to Sustainable Tobacco during their supply chain process ?,-,Boolean
Social,Q644,Are there any technicians appointed during the supply chain process to detect or monitor the agriculture or crop management process?,-,Boolean
Social,Q597,Existence of management process for ensuring quality and patient safety during clinical trials,-,Boolean
